Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Benin,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,4,5,4,5,6,6,6,6,6,8,8,9,9,10,7,6,6,9
Benin,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,9,9,10,13,14,14,14,15,16,16,16,17,16,17,17,14,15,16
Benin,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,8,8,9,11,13,12,13,14,14,14,14,15,15,15,15,13,13,14
Benin,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,General government expenditure ,Million NCU,"391,025","414,785","444,714","424,540","436,105","489,596","477,938","618,147","635,130","778,455","664,100","742,164","809,781","920,832","933,036","1,222,180","1,080,750","1,311,700"
Botswana,Current Health Expenditure (CHE) per Capita in US$,,195,193,196,257,284,269,257,305,325,338,393,432,472,436,419,374,387,466
Botswana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,6,6,5,5,5,6,7,6,6,6,6,6,6,6,6
Botswana,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,83,86,86,87,88,88,89,85,87,93,95,95,95,91,92,93,94,90
Botswana,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,11,10,9,9,9,9,8,7,6,5,5,5,4,4,4,4,3,3
Botswana,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,3,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,5
Botswana,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,107,109,114,149,166,152,147,173,202,174,226,266,305,279,285,253,257,353
Botswana,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,56,56,55,74,85,85,82,86,82,139,147,146,146,119,101,94,108,69
Botswana,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,21,19,18,23,25,24,21,21,19,18,20,20,20,16,16,13,13,14
Botswana,General government expenditure ,Million NCU,"11,536","13,671","15,710","16,276","17,383","17,632","19,737","24,823","35,150","39,490","38,417","38,668","40,736","41,730","50,564","54,411","56,275","58,393"
Burkina Faso,Current Health Expenditure (CHE) per Capita in US$,,8,8,9,12,18,18,21,28,30,32,34,35,35,44,40,34,41,44
Burkina Faso,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,4,5,4,5,6,5,6,6,5,5,6,6,6,7,7
Burkina Faso,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,79,80,78,68,73,65,65,57,63,69,59,67,62,70,76,75,77,82
Burkina Faso,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,42,43,38,33,30,31,31,27,31,31,30,33,32,34,34,36,31,32
Burkina Faso,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,2,3,3
Burkina Faso,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,2,3,3,4,7,6,7,8,9,10,8,10,8,13,13,10,16,19
Burkina Faso,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,3,4,4,4,6,6,7,8,10,12,11,13,13,18,17,16,15,17
Burkina Faso,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,3,3,3,4,5,6,7,8,9,10,10,11,11,15,13,12,13,14
Burkina Faso,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,General government expenditure ,Million NCU,"417,988","459,374","489,168","483,810","582,370","655,175","748,349","833,588","783,656","956,439","1,083,230","1,163,390","1,453,720","1,677,340","1,440,760","1,424,160","1,645,110","2,150,000"
Burundi,Current Health Expenditure (CHE) per Capita in US$,,8,9,8,7,10,13,16,18,18,22,26,25,21,22,20,19,22,24
Burundi,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,6,8,8,10,11,9,10,11,10,9,8,7,7,7,8
Burundi,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,99,80,84,82,76,72,73,74,71,64,57,73,71,57,87,90,68,69
Burundi,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,42,40,41,42,36,35,35,36,36,32,28,25,23,21,30,31,25,25
Burundi,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,2,2,1,2,2,2,2,2,2,2,3,3,1,3,2,2,2
Burundi,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,2,2,2,2,3,3,4,4,3,4,5,9,7,4,8,7,5,6
Burundi,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,6,5,5,4,4,6,8,9,10,9,10,10,9,8,10,10,10,10
Burundi,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,4,3,3,3,3,4,6,6,7,7,7,6,5,5,6,6,6,6
Burundi,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,General government expenditure ,Million NCU,"154,593","184,917","184,885","309,752","411,096","400,440","477,769","571,710","786,676","829,723","1,021,530","1,189,470","1,263,660","1,325,580","1,442,140","1,283,710","1,098,890","1,280,310"
Cameroon,Current Health Expenditure (CHE) per Capita in US$,,26,28,31,39,42,43,44,51,61,58,59,49,63,67,71,64,65,68
Cameroon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,4,4,4,4,5,3,5,5,5,5,5,5
Cameroon,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,99,100,98,99,97,97,96,95,86,93,94,91,92,91,92
Cameroon,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,77,75,73,73,76,77,77,77,79,74,72,51,70,71,71,70,70,71
Cameroon,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cameroon,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,4,5,7,8,8,7,8,7,8,10,11,16,9,10,8,9,9,9
Cameroon,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,22,22,24,30,34,35,36,41,51,46,45,26,49,54,56,49,50,54
Cameroon,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,20,21,23,28,32,33,34,39,48,43,42,25,44,48,50,44,45,48
Cameroon,General government expenditure ,Million NCU,"1,093,740","1,171,350","1,194,060","1,219,120","1,331,170","1,278,300","1,365,970","1,528,320","1,980,990","1,931,280","2,066,940","2,576,090","2,640,730","3,199,760","3,590,600","3,821,730","4,044,660","4,030,540"
Cabo Verde Republic of,Current Health Expenditure (CHE) per Capita in US$,,62,66,71,87,96,98,115,130,130,133,148,158,174,188,188,144,149,168
Cabo Verde Republic of,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5
Cabo Verde Republic of,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,97,97,97,98,96,95,91,95,94,97,94,95,87,85,85,96,95,92
Cabo Verde Republic of,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,25,23,24,24,24,25,24,23,24,24,28,26,25,24,26,28,29,29
Cabo Verde Republic of,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
Cabo Verde Republic of,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,44,48,52,64,68,68,77,93,89,95,94,105,104,109,108,95,95,101
Cabo Verde Republic of,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,16,16,17,22,24,25,28,31,33,34,46,45,47,51,52,43,47,53
Cabo Verde Republic of,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,16,15,17,21,23,24,27,30,32,32,42,41,43,46,48,40,43,48
Cabo Verde Republic of,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde Republic of,General government expenditure ,Million NCU,"29,726","23,555","28,994","25,290","29,449","32,437","36,252","35,986","40,747","45,408","54,263","49,235","52,151","52,025","47,082","49,907","49,139","54,749"
Central African Republic,Current Health Expenditure (CHE) per Capita in US$,,10,9,11,13,13,15,16,19,18,20,17,19,19,16,18,22,16,24
Central African Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,5,4,5,4,5,4,4,4,4,4,5,5,6,4,6
Central African Republic,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,89,93,84,87,90,79,80,78,77,59,76,68,71,63,61,39,59,45
Central African Republic,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,46,51,47,46,50,43,43,38,43,40,46,45,43,49,41,30,43,31
Central African Republic,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
Central African Republic,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,4,4,4,5,5,5,6,7,6,4,5,4,5,2,3,2,2,3
Central African Republic,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,5,5,5,6,7,7,7,7,8,8,8,9,8,8,8,7,7,8
Central African Republic,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,5,5,5,6,7,7,7,7,8,8,8,8,8,8,8,7,7,8
Central African Republic,General government expenditure ,Million NCU,"105,732","93,258","113,948","84,802","90,348","120,397","107,487","108,263","145,916","155,647","182,974","162,660","181,280","111,943","168,556","140,000","130,888","166,802"
Chad,Current Health Expenditure (CHE) per Capita in US$,,10,12,18,18,28,32,35,35,38,36,36,39,38,40,44,35,35,30
Chad,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,7,6,6,5,5,4,4,4,4,4,4,4,4,5,5,4
Chad,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,97,96,97,83,90,90,89,94,94,92,94,88,89,92,89,83,78,79
Chad,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,56,58,65,47,51,56,64,65,69,65,68,61,59,59,56,57,56,58
Chad,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Chad,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,4,4,5,6,10,9,7,8,7,7,8,8,9,11,13,8,6,5
Chad,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,6,7,12,9,15,19,24,25,28,25,27,26,24,26,27,22,21,19
Chad,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,6,7,12,9,14,18,22,23,26,23,25,24,22,24,25,20,19,17
Chad,General government expenditure ,Million NCU,"203,200","220,500","280,300","348,100","336,778","404,946","542,280","709,295","874,409","1,058,610","1,288,500","1,284,480","1,512,110","1,463,560","1,519,220","1,187,360","868,733","871,171"
Comoros,Current Health Expenditure (CHE) per Capita in US$,,46,43,48,57,63,62,62,68,72,68,67,79,65,69,68,58,58,59
Comoros,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,12,11,11,10,10,10,10,9,9,9,9,9,8,8,8,8,7,7
Comoros,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,96,96,96,96,96,95,95,95,93,93,89,90,91,90,91,90,89,89
Comoros,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,82,84,79,79,80,80,81,81,81,82,79,70,78,76,77,75,73,75
Comoros,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1
Comoros,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,6,5,8,9,9,8,8,8,8,6,6,14,7,8,8,8,9,7
Comoros,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,38,37,39,46,51,51,51,56,60,57,54,57,52,54,54,45,43,45
Comoros,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,37,36,38,46,50,50,50,55,59,56,53,55,51,53,52,44,42,44
Comoros,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,General government expenditure ,Million NCU,"17,614","26,592","31,699","30,347","28,847","30,425","33,599","37,314","46,338","43,627","44,703","47,793","57,803","61,305","61,852","71,215","84,003","79,100"
Congo,Current Health Expenditure (CHE) per Capita in US$,,17,20,17,21,27,31,36,42,63,49,55,61,73,73,72,58,53,50
Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3
Congo,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,88,91,88,89,80,79,83,82,89,81,88,79,74,80,82,81,94,92
Congo,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,53,46,61,61,56,52,49,49,38,50,42,41,30,31,31,32,46,48
Congo,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,2,2,1
Congo,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,6,9,4,6,6,8,12,13,31,14,25,23,31,35,35,27,24,20
Congo,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,9,9,10,13,16,16,18,21,25,25,24,25,22,23,25,21,26,26
Congo,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,9,9,10,13,15,16,17,21,24,25,23,25,22,23,23,19,24,24
Congo,General government expenditure ,Million NCU,"584,297","647,546","745,810","605,308","656,310","775,762","1,123,050","1,201,490","1,255,620","1,117,280","1,496,150","2,056,340","2,769,290","3,760,100","4,295,160","2,902,420","2,513,880","1,834,690"
Côte d'Ivoire,Current Health Expenditure (CHE) per Capita in US$,,36,31,31,39,47,49,55,67,78,75,74,75,77,73,81,63,68,70
Côte d'Ivoire,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,5,4,5,5,5,6,6,6,6,6,6,6,5,5,4,5,4
Côte d'Ivoire,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,89,88,86,88,88,91,91,91,88,90,89,88,84,91,87,87,85,87
Côte d'Ivoire,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,59,56,50,54,56,61,63,63,59,60,59,59,53,56,51,43,40,39
Côte d'Ivoire,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Côte d'Ivoire,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,5,5,5,6,7,7,7,9,10,11,10,10,13,14,17,16,17,20
Côte d'Ivoire,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,27,23,22,29,34,38,43,53,59,56,57,56,52,52,53,40,40,41
Côte d'Ivoire,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,21,18,16,21,27,30,34,42,47,45,44,44,40,41,41,27,27,27
Côte d'Ivoire,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Côte d'Ivoire,General government expenditure ,Million NCU,"1,358,200","1,297,300","1,558,050","1,558,620","1,632,960","1,693,700","1,860,610","2,000,340","2,187,690","2,279,490","2,464,360","2,209,600","3,051,750","3,385,580","3,671,950","4,469,950","5,014,560","5,509,250"
Democratic Republic of the Congo,Current Health Expenditure (CHE) per Capita in US$,,20,6,5,7,9,9,11,12,16,14,13,13,14,16,19,20,21,19
Democratic Republic of the Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,3,3,4,4,4,4,4,5,5,4,3,4,4,4,4,4,4
Democratic Republic of the Congo,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,74,85,84,80,82,80,80,76,62,59,55,55,61,60,60,60,57,58
Democratic Republic of the Congo,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,50,70,68,66,70,68,68,63,50,45,37,39,40,39,39,37,37,40
Democratic Republic of the Congo,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Democratic Republic of the Congo,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,1,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,2
Democratic Republic of the Congo,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,14,5,4,5,7,7,8,9,9,7,6,6,6,7,9,9,9,9
Democratic Republic of the Congo,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,10,4,3,4,6,6,8,8,8,6,5,5,6,6,8,7,8,8
Democratic Republic of the Congo,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,,,,,,,,,,,,,,,,0,0,0
Democratic Republic of the Congo,General government expenditure ,Million NCU,"32,701","95,022","126,283","332,830","359,460","487,361","605,530","833,712","1,282,840","1,870,300","3,083,810","3,302,380","3,675,670","3,807,960","6,143,160","6,050,250","5,367,650","6,917,220"
Equatorial Guinea,Current Health Expenditure (CHE) per Capita in US$,,44,60,75,107,143,163,193,248,416,305,312,333,272,380,422,327,290,301
Equatorial Guinea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3
Equatorial Guinea,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,97,91,95,97,97,97,94,94,97,94,96,96,97,99,100,99,99,98
Equatorial Guinea,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,80,79,85,84,79,78,72,71,77,58,66,64,49,72,74,77,74,77
Equatorial Guinea,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
Equatorial Guinea,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,6,5,5,9,19,22,33,46,68,97,78,87,113,86,91,62,64,57
Equatorial Guinea,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,36,50,66,95,120,135,149,188,338,190,220,232,150,289,330,261,223,238
Equatorial Guinea,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,35,48,63,90,114,126,139,175,319,176,206,214,133,272,314,252,216,231
Equatorial Guinea,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,General government expenditure ,Million NCU,"186,337","165,219","161,699","254,804","484,924","609,587","954,248","1,233,480","1,759,330","2,827,520","2,516,850","2,767,020","4,023,500","3,173,410","3,395,780","3,246,620","1,853,090","1,421,840"
Eritrea,Current Health Expenditure (CHE) per Capita in US$,,9,10,10,13,16,15,16,13,13,19,17,24,20,21,24,26,29,33
Eritrea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,6,5,5,5,4,4,4,3,4,3,3,3,3,3,3
Eritrea,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,99,86,78,62,57,48,47,67,52,70,68,52,75,65,67,71,88,86
Eritrea,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,64,56,46,39,35,35,34,44,45,44,53,38,54,55,55,58,58,59
Eritrea,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,1,2,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1
Eritrea,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,3,3,3,3,3,2,2,3,1,5,3,3,4,2,3,3,9,9
Eritrea,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,6,6,5,5,5,5,5,6,6,8,9,9,11,12,13,15,17,19
Eritrea,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,6,6,5,5,5,5,5,6,6,8,9,9,11,12,13,15,17,19
Eritrea,General government expenditure ,Million NCU,"5,042","5,875","6,368","8,093","8,386","9,704","7,664","8,093","8,941","8,737","11,409","13,581","14,597","16,660","18,276","20,206","22,789","26,111"
Eswatini,Current Health Expenditure (CHE) per Capita in US$,,75,74,73,129,172,212,230,242,252,262,317,333,306,270,248,217,194,225
Eswatini,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,6,6,7,7,8,8,9,9,9,8,8,8,7,7,7,7
Eswatini,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,96,89,84,82,79,81,74,77,76,77,74,68,69,70,63,67,67,76
Eswatini,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,19,18,17,15,15,13,12,12,11,10,10,10,11,11,11,11,11,10
Eswatini,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,3,3,4,3,4,4,4,4,4,3,3,3,3,3,4
Eswatini,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,39,34,32,59,76,105,102,114,127,135,156,142,134,120,94,91,81,114
Eswatini,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,33,31,30,46,61,67,69,71,64,66,80,84,78,69,63,56,50,57
Eswatini,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,14,13,12,19,25,28,29,29,27,27,33,35,32,28,26,23,21,24
Eswatini,General government expenditure ,Million NCU,"2,969","3,410","3,980","4,255","5,554","5,834","6,109","7,416","9,084","10,153","9,988","8,854","10,821","12,658","15,452","17,479","20,439","20,749"
Ethiopia,Current Health Expenditure (CHE) per Capita in US$,,5,6,5,6,6,7,9,12,13,16,17,15,21,20,22,25,27,25
Ethiopia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,5,4,4,4,5,4,5,5,4,5,4,4,4,4,4
Ethiopia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,84,83,87,86,70,78,68,67,53,66,66,62,72,77,77,79,75,78
Ethiopia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,36,35,37,34,35,31,39,37,38,42,42,47,42,42,38,36,34,34
Ethiopia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,1,2,1,1,1,1,1,0,1,1,1,1,1,1
Ethiopia,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,2,2,2,3,2,3,2,3,2,3,3,1,5,5,4,6,6,6
Ethiopia,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,2,2,2,2,2,2,4,5,6,7,8,8,10,10,13,14,14,13
Ethiopia,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,2,2,2,2,2,2,3,4,5,6,7,7,9,8,9,9,9,9
Ethiopia,General government expenditure ,Million NCU,"17,184","15,382","16,679","19,840","20,236","24,572","29,276","35,563","46,915","57,774","71,335","93,889","124,417","153,929","185,472","224,881","280,893","329,658"
Gabon,Current Health Expenditure (CHE) per Capita in US$,,127,125,137,173,189,198,221,263,282,294,217,274,237,275,245,198,220,204
Gabon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,4,3,3,3,3,3,4,2,3,2,3,3,3,3,3
Gabon,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,98,99,98,98,98,96,98,97,98,98,99,99,100,100,99,99,99,99
Gabon,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,53,51,54,50,50,52,51,50,52,51,26,28,28,29,28,26,23,25
Gabon,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2
Gabon,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,47,50,49,70,77,71,86,103,107,118,138,170,145,176,147,117,142,129
